"studium_id";"zaverecna_prace_id";"cislo_terminu";"vedouci_jmeno";"navrh_znamky_vedouci";"oponent_jmeno";"navrh_znamky_oponent";"datum_obhajoby";"zaverecna_prace_hodnoceni";"nazev_cs";"nazev_en";"typ_prace";"jazyk_prace"
"11723806";"913439421405";"1";"Ing. Petr Pauš, Ph.D.";"1";"doc. Ing. Tomáš Vitvar, Ph.D.";"1";"2018-06-21";"1";"Wowee: Komparace GraphQL a REST API";"Wowee: GraphQL and REST API comparison";"B";"CS"
"9237406";"725102788505";"1";"Ing. David Sedláček, Ph.D.";"1.5";"RNDr. Jakub Klímek, Ph.D.";"3";"2016-06-15";"2";"Knihovna polohově zaměřené rozšířené reality pro systém Android";"Geo-location based augmented reality library for Android";"M";"CS"
"13516106";"1131099116505";"1";"Ing. Václav Jirovský, Ph.D.";"1";"Ing. Jan Blizničenko";"2";"2020-06-24";"2";"Wearables - aplikace pro sdílení vozidel Uniqway";"Wearables - application for carsharing Uniqway";"B";"CS"
"11683906";"991494718905";"1";"Ing. Zdeněk Muzikář, CSc.";"1.5";"Ing. Jakub Průša";"2.5";"2019-02-14";"2.5";"Generátor vstupních dat pro validaci Bash skriptů";"Input data generator for Bash scripts validation";"B";"CS"
"14275606";"1025822700905";"1";"Ing. Jiří Hunka";"1";"Ing. Jan Matoušek";"1";"2019-06-12";"1";"Backend skladového systému";"Storage system backend";"M";"CS"
"6815306";"620522619105";"1";"Ing. Martin Balík, Ph.D.";"1";"Ing. Jaroslav Kuchař, Ph.D.";"2.5";"2016-02-16";"2";"Systém pro správu multimediálního obsahu založený na ontologiích";"Ontology-based multimedia content management system";"M";"CS"
"11714206";"893935823005";"1";"Ing. Michal Valenta, Ph.D.";"1.5";"";"1.5";"2018-06-25";"1.5";"Návrh a implementace analýzy datových toků pro jazyk Pig v projektu Manta";"Design and implementation of module for data lineage analysis of Pig language in Manta project";"B";"SL"
"12237006";"919586198205";"1";"Ing. Jaroslav Kuchař, Ph.D.";"3";"Ing. Josef Pavlíček, Ph.D.";"2.5";"2018-06-12";"2.5";"Systém pro klasifikaci webových stránek";"System for classification of web pages";"M";"CS"
"8596006";"636150411505";"1";"Ing. Josef Gattermayer, Ph.D.";"2";"Ing. Milan Dojčinovski, Ph.D.";"2.5";"2016-02-16";"3";"Mobilní aplikace a API server pro ukládání bodů zájmu";"Mobile application and API server to store points of interest";"M";"EN"
"8326106";"537675075205";"1";"doc. Ing. Pavel Kordík, Ph.D.";"1.5";"Ing. Michal Valenta, Ph.D.";"2";"2015-06-11";"1.5";"Panel pro vizualizaci pedagogických výkonů";"Educational performance dashboard";"M";"CS"
"11691806";"811264853305";"1";"";"1.5";"Ing. Ivan Halaška";"1";"2017-06-27";"1.5";"Informační systém pro koordinátory stážového programu";"Information system for internship coordinators";"B";"CS"
"9981406";"761773794805";"1";"Ing. Michal Valenta, Ph.D.";"1";"Ing. Ivan Halaška";"1";"2017-06-13";"1";"Anketa ČVUT  v 4.0 - Datové schéma a byznys vrstva v databázi";"CTU Enquiry System v. 4.0 - Data scheme and bussiness layer in database";"M";"CS"
"13502306";"923514863805";"1";"Ing. Jiří Hunka";"1.5";"Ing. Pavel Žikovský, Ph.D.";"1";"2019-02-05";"1.5";"NURIS - Informační systém pro MI-NUR";"NURIS - MI-NUR infomration system";"M";"CS"
"6303806";"606582103505";"1";"Ing. Bc. Ivan Ryant";"1";"RNDr. Helena Wallenfelsová";"1";"2015-06-17";"1";"Interaktivní kurz o internetových protokolech pro střední školy";"Interactive course on internet protocols for high schools";"B";"CS"
"9190606";"911762478405";"1";"Ing. Jiří Pavelka";"1";"Ing. David Buchtela, Ph.D.";"1.5";"2019-02-14";"1.5";"Kvalifikace technických a obsahových vlastností webových stránek";"Web Page Technical and Content Properties Qualification";"B";"CS"
"6270206";"731576045805";"1";"Ing. Jiří Chludil";"2";"";"2.5";"2017-02-08";"1.5";"CMS pro ČVUT navigátor";"CMS for the CTU navigator";"B";"EN"
"5498206";"540339814905";"1";"Ing. Martin Kopp, Ph.D.";"1";"Ing. Martin Šlapák, Ph.D.";"1";"2015-06-16";"1";"Textový editor pro japonštinu";"Text Editor for Japanese";"B";"CS"
"6290606";"724063199105";"1";"Ing. Jiří Chludil";"1";"Ing. Radek Richtr, Ph.D.";"1";"2016-06-27";"1";"Výuková aplikace Dráček II - gamifikace a personalizace";"Teaching aplication Dragon II - gamification and personification";"B";"CS"
"11702406";"922384262505";"1";"Ing. Radek Richtr, Ph.D.";"1.5";"Ing. Jiří Chludil";"1";"2018-06-22";"1";"S10W: Vizualizace plně procedurálního dynamického terénu se zaměřením na generování biomů";"Fully dynamic procedural terrain visualisation with focus on biomes generation";"B";"CS"
"6295206";"604422287005";"1";"doc. Ing. Jiří Douša, CSc.";"1";"Mgr. Martin Podloucký";"2";"2015-06-18";"2";"Vizualizace kvality pseudonáhodných posloupností";"Visual demonstration of the quality of pseudorandom sequences";"B";"CS"
"11745506";"901389738105";"1";"Ing. Magda Friedjungová, Ph.D.";"1";"Ing. Robert Kotlář";"1";"2018-06-25";"1";"Webová aplikace pro monitoring datového skladu ČVUT";"Web Application for Monitoring of CTU Data Warehouse";"B";"CS"
"6298106";"727187797005";"1";"Ing. Jan Trdlička, Ph.D.";"3";"Ing. Michal Šoch, Ph.D.";"3";"2016-06-21";"3";"Obchodní indikátory a strategie pro platformu Metatrader";"Custom Indicators and Expert Advisors for Platform Metatrader";"B";"CS"
"6289106";"630504062005";"1";"doc. Ing. Robert Pergl, Ph.D.";"1.5";"Ing. Dana Vynikarová, Ph.D.";"1.5";"2015-06-23";"1.5";"Automatizovaný vyhledávač pirátských kopií";"Automatic search of pirate copies";"B";"CS"
"7844406";"722771073105";"1";"doc. Ing. Carlos Humberto Granja, Ph.D.";"1";"Ing. Jiří Novák, Ph.D.";"2";"2016-06-27";"1.5";"Návrh a implementace komponent pro zobrazovávní signálových výstupů a dat z monitorů radiace v realném čase";"Design and development of modules for real-time display of data from radiation monitors";"B";"EN"
"6316206";"610764219605";"1";"doc. Ing. Robert Pergl, Ph.D.";"1";"Ing. Martin Molhanec, CSc.";"1.5";"2015-06-23";"1";"Diskrétní simulace pro metodu BORM v nástroji OpenCABE";"Discrete Simulation for the BORM Method in the OpenCABE Tool";"B";"CS"
"6424806";"623879315805";"1";"Ing. Viktor Černý";"2.5";"Ing. Tomáš Čejka, Ph.D.";"2";"2015-06-11";"2.5";"Grafická reprezentace příkazové řádky unixového typu";"Graphical unix-like command line";"M";"CS"
"7821406";"716301181405";"1";"Ing. Jiří Dostál, Ph.D.";"1";"Ing. Ivan Halaška";"2";"2017-06-20";"2";"Univerzální rezervační systém";"General-Purpose Booking System";"B";"CS"
"9171506";"818753548205";"1";"Ing. Zdeněk Rybola, Ph.D.";"1";"Ing. Daniel Dombek, Ph.D.";"1.5";"2017-06-21";"1";"MobChar - balíček pro Dračí doupě 3.0";"MobChar - package for Dračí doupě 3.0";"B";"CS"
"4771706";"630258473105";"1";"Ing. Pavel Náplava, Ph.D.";"1";"";"1";"2015-06-22";"1";"Analýza a návrh software pro podporu charakterizace a zajištění garance kvality elektricky ovladatelných optických produktů";"Analysis and Design of Supporting Information System Enhancing Characterization and Quality Assurance of Electrically Tunable Optical Products";"B";"EN"
"7805306";"701962591405";"1";"Ing. Mgr. Pavla Vozárová, Ph.D., M.A.";"1";"PhDr. Ing. Tomáš Evan, Ph.D.";"1";"2016-06-21";"1";"Simulace koncentrovaného trhu - aplikace pro výuku ekonomických předmětů na FIT";"Concentrated markets simulation - educational application for economic classes at FIT";"B";"CS"
"11719706";"726921175205";"1";"Ing. Zdeněk Troníček, Ph.D.";"1";"Ing. Jiří Hunka";"1.5";"2016-06-28";"1.5";"Vzhled webového rozhraní portálu najdi-lékárnu.cz";"Visual aspect of web interface of portal najdi-lékárnu.cz";"B";"CS"
"14285106";"1021778840805";"1";"Ing. Michal Valenta, Ph.D.";"1";"";"1";"2019-06-13";"1";"Analýza datových toků v Excelu";"Analysis of data flows in excel";"M";"CS"
"6319706";"708305381905";"1";"Ing. Jiří Hunka";"1";"Ing. Ondřej Guth, Ph.D.";"1";"2016-06-22";"1";"Webová služba na testování REST API";"Web service for testing REST API";"B";"CS"
"4055306";"599602337905";"1";"Ing. Pavel Vít, Ph.D.";"1.5";"doc. Ing. Tomáš Vitvar, Ph.D.";"3";"2016-02-09";"2";"Hudební přehrávač pro OS Android";"Music Player based on OS Android";"B";"CS"
"9244606";"627058108905";"1";"";"4";"Ing. Josef Vogel, CSc.";"4";"2016-02-16";"4";"Systém pro vzdálené sledování chyb ve frameworku Ionic2";"Remote error reporting system for Ionic2";"M";"CS"
"9242906";"786211736105";"1";"Ing. Josef Gattermayer, Ph.D.";"1";"RNDr. Jakub Klímek, Ph.D.";"2.5";"2018-02-06";"2";"Mobilní lexikon zvířat ZOO Praha pro Android";"Mobile animal lexicon ZOO Praha for Android";"M";"CS"
"12234506";"888925361605";"1";"Ing. Jiří Hunka";"1";"Ing. Pavel Žikovský, Ph.D.";"1";"2018-02-05";"1";"Roadbook aplikace pro OS Android";"OS Android Roadbook app";"M";"SL"
"15641006";"1122061433305";"1";"Ing. Marek Sušický";"1";"Ing. Marek Suchánek";"1";"2020-06-16";"1";"GraphWiki";"GraphWiki";"M";"CS"
"14255406";"1112918454905";"1";"Ing. Marek Suchánek";"1";"Ing. Jan Blizničenko";"1";"2020-06-23";"1";"Informační systém pro správu fyzických dokumentů";"Information System for Paper Document Management";"B";"CS"
"13501306";"788309326405";"1";"Ing. Pavel Krejčí";"1";"";"1.5";"2017-02-14";"1";"Bimodal IT jako způsob zavádění agility v korporacích";"Bimodal IT as Method for Implementing Agility in Corporations";"M";"CS"
"12082006";"1027268284405";"1";"Ing. Zdeněk Rybola, Ph.D.";"2.5";"doc. Ing. Robert Pergl, Ph.D.";"2";"2020-06-23";"2.5";"CookBook - aplikace pro plánování menu";"CookBook - menu planning application";"B";"EN"
"9200906";"927420876505";"2";"Ing. Petr Pauš, Ph.D.";"2";"Ing. Jiří Chludil";"2";"2019-06-25";"2";"Možnosti využití frameworku A-Frame pro rozšířenou realitu";"A-Frame framework for augmented reality applications";"B";"CS"
"12961006";"1026401473005";"1";"Ing. Radek Richtr, Ph.D.";"2";"PhDr. Ing. Tomáš Evan, Ph.D.";"1.5";"2019-06-24";"1.5";"Do roboty! Samoorganizující se model starověké vesnice.";"Work now! A self-organizing model of a medieval village.";"B";"CS"
"6323606";"628047165805";"1";"Mgr. Monika Součková";"1.5";"Ing. Bc. Ivan Ryant";"1";"2015-06-23";"4";"Analýza, návrh a implementace jednobodové autentizace pro portál Webgarden";"Analysis, design, and implementation of a single-sign-on for the  Webgarden portal";"B";"CS"
"8332406";"692022038805";"1";"Ing. Michal Valenta, Ph.D.";"2";"";"2.5";"2017-02-15";"2.5";"Návrh platformy pro testování hotelových sítí";"Design of hotel network testing framework";"M";"CS"
"17205606";"1099943796805";"1";"";"4";"Ing. Michal Valenta, Ph.D.";"4";"2020-06-18";"4";"Webová aplikace pro zpracování dat detektoru ATLAS Forward Proton v CERNu";"Web Application for Discoveries with the ATLAS Forward Proton Detector at CERN";"M";"EN"
"5506706";"597057415905";"2";"RNDr. Jiřina Scholtzová, Ph.D.";"1.5";"Ing. Petr Špaček, Ph.D.";"2";"2016-02-09";"2";"Vytvoření uživatelského rozhraní k aplikaci pro studium digitální evoluce";"GUI for a study of a digital evolution system";"B";"CS"
"9242506";"727964647905";"1";"doc. RNDr. Ing. Marcel Jiřina, Ph.D.";"1";"Ing. Radek Richtr, Ph.D.";"3";"2016-06-16";"2";"Extrakce razítek z naskenovaných dokumentů a jejich úprava";"Extraction of stamps from scanned documents and their preprocessing";"M";"CS"
"14284706";"1133510177005";"1";"Ing. Petr Pauš, Ph.D.";"1";"Ing. Jiří Chludil";"1.5";"2020-06-24";"1";"Věnná města českých královen - Lokalizační modul";"Dowry Towns of the Queens of Bohemia - Location module";"B";"CS"
"4786306";"633701964605";"1";"Ing. Josef Gattermayer, Ph.D.";"1";"";"1.5";"2015-06-18";"1";"Otevřená data ve státní správě";"Open Data in Civil Service";"B";"CS"
"13021306";"901922611405";"1";"Ing. Jiří Chludil";"1";"Ing. Jan Kubr, Ph.D.";"1.5";"2018-06-14";"1";"BOZP portál III";"BOZP Portal III";"M";"CS"
"12030206";"899529809805";"1";"Ing. Miroslav Skrbek, Ph.D.";"1";"Ing. David Bernhauer";"1";"2018-06-25";"1";"Webová aplikace pro správu robotů - frontend";"Web application for robot management - frontend";"B";"CS"
"9248406";"724580743205";"1";"Ing. Josef Gattermayer, Ph.D.";"1";"doc. Ing. Jan Janeček, CSc.";"2";"2016-06-14";"2";"Prototypová IoT aplikace pro lodní navigaci";"Prototype IoT application for marine navigation";"M";"CS"
"11737506";"912038719005";"1";"Ing. Josef Vogel, CSc.";"1";"Ing. Kamil Foltin";"1";"2018-06-25";"1";"Interaktivní aplikace pro analýzu klinických dat pacientů po transplantaci krvetvorby";"Interactive application to analyze clinical data of patients after transplantation of hematopoiesis";"B";"EN"
"14793706";"979548550305";"1";"RNDr. Jakub Klímek, Ph.D.";"1";"Ing. Petr Špaček, Ph.D.";"1";"2019-06-12";"1";"Validátor CSV souborů dle W3C doporučení CSV on the Web";"CSV file validator according to the CSV on the Web W3C recommendations";"M";"CS"
"9203606";"801721011205";"1";"Ing. Miroslav Balík, Ph.D.";"2";"RNDr. Kateřina Trlifajová, Ph.D.";"2.5";"2018-02-15";"2.5";"Aplikace pro podporu výuky angličtiny";"Application for English language education";"B";"CS"
"14318006";"1130186867005";"1";"Ing. Tomáš Pecka";"1";"Ing. Jan Trávníček, Ph.D.";"1";"2020-06-25";"1";"Knihovna algoritmů ALT - webové rozhraní";"ALT Algorithm Library - web interface";"B";"CS"
"5507106";"630502800305";"1";"Ing. Josef Gattermayer, Ph.D.";"1";"";"1";"2015-06-16";"1.5";"Služba na prezentaci menu";"Menu presentation service";"B";"CS"
"15641206";"1122061929405";"1";"Ing. Petr Pauš, Ph.D.";"1.5";"Ing. Jiří Chludil";"2";"2020-08-31";"1.5";"Návrh a implementace aplikace pro práci s historickými artefakty ve virtuální realitě";"Design and implementation of virtual reality application for manipulation with historical artifacts";"M";"CS"
"14273506";"1116135889605";"1";"Ing. Josef Pavlíček, Ph.D.";"1";"Ing. Filip Glazar";"1.5";"2020-06-25";"1";"Implementace IT řešení pro volejbalový svaz";"The implementation of IT solutions for volleyball association";"B";"CS"
"7817706";"710769417205";"1";"Ing. Martin Balík, Ph.D.";"1";"Ing. Marek Žehra";"2";"2016-06-23";"1.5";"Plánovací kalendář pro Android";"Planning calendar for Android devices";"B";"CS"
"6303606";"628776027705";"1";"Ing. Viktor Černý";"1";"Ing. Mgr. Pavla Vozárová, Ph.D., M.A.";"1.5";"2015-06-18";"1.5";"Nástroj pro výuku programovacího jazyka C a C++";"Tool for Teaching Programming in C and C++";"B";"CS"
"13036606";"923233089405";"1";"Ing. Mgr. Pavla Vozárová, Ph.D., M.A.";"1";"PhDr. Ing. Tomáš Evan, Ph.D.";"2";"2020-02-11";"1.5";"Simulace strategií spolupráce na oligopolistickém trhu coby pomůcka pro výuku ekonomických předmětů";"Cooperation Strategies Simulation in Oligopolistic Market - Presentation Tool for Classes in Economics";"M";"CS"
"6252306";"617899086905";"1";"doc. RNDr. Ing. Marcel Jiřina, Ph.D.";"1";"doc. Ing. Pavel Kordík, Ph.D.";"1.5";"2015-06-16";"1.5";"Softwarová aplikace pro řízení projektů s využitím gamifikačních prvků";"Software application for project management using gamification elements";"B";"CS"
"6289906";"727184189205";"2";"Ing. Radek Hronza, Ph.D.";"2";"Ing. David Buchtela, Ph.D.";"2";"2017-02-08";"2";"Analýza možnosti elektronizace podnikových procesů";"Analysis of Business Processes Executable";"B";"CS"
"8343106";"619326927605";"1";"Ing. Kamil Foltin";"1.5";"Ing. Karel Klouda, Ph.D.";"1.5";"2017-02-15";"1.5";"CSS preprocesor pro publikační systém Webgarden";"CSS preprocessor for Webgarden content management system";"M";"CS"
"11693506";"826851611405";"1";"Ing. Martin Kopp, Ph.D.";"2";"Ing. Radomír Polách";"2";"2017-06-22";"1.5";"Automatický řešič obrázkových CAPTCHA";"Automated solver of image based CAPTCHA";"B";"EN"
"9235006";"705137294305";"1";"Ing. Petr Špaček, Ph.D.";"1";"Ing. Jan Stejskal";"1";"2016-06-13";"1";"Aplikace pro správu a integraci studentských uživatelských účtů v prostředí střední školy";"A system for management and integration of students' user-accounts of a high school";"M";"CS"
"13518606";"791333780105";"1";"Ing. Pavel Štěpán";"1";"Ing. Karel Klouda, Ph.D.";"2.5";"2017-02-08";"2";"Nástroj pro správu, sdílení a vizualizaci sportovních cvičení a tréninkových plánů";"Tool for managing, sharing and visualizing sport drills and practice plans";"B";"CS"
"10086506";"627799127205";"1";"Ing. Pavel Náplava, Ph.D.";"2.5";"Ing. František Klíma, CSc.";"1.5";"2015-06-24";"2.5";"Reálné opce a cloudy jako prostředek pro snižování nejistot v IT projektech";"IT Projects Uncertainty Reduction by Means of Real Options and Clouds";"B";"EN"
"6317506";"619087579605";"1";"Ing. Tomáš Bartoň, Ph.D.";"1.5";"Ing. Jakub Jirůtka";"2";"2015-06-18";"2";"Nástroj pro optimalizaci výkonu Rails aplikací";"Rails Performance Analysis Tool";"B";"CS"
"12969106";"1039489797305";"1";"";"1";"Ing. Petr Pulc";"1";"2020-02-04";"1";"Slevomat Partner - aplikace pro Android";"Slevomat Partner - Android application";"B";"EN"
"11735706";"705379861305";"1";"Ing. Jan Bělohoubek";"1";"Ing. Robert Hülle";"1.5";"2016-06-27";"1.5";"Efektivní správce kontaktů pro pokročilé uživatele";"Efficient Contact Organizer for Advanced Users";"B";"CS"
"11712606";"917063550605";"1";"Ing. Radek Richtr, Ph.D.";"1";"";"1";"2019-06-24";"1";"Vizualizace 3-rozměrných dat slunečního povrchu";"Visualization of 3-dimensional solar surface data";"B";"EN"
"6293806";"623628759005";"1";"Ing. Petr Špaček, Ph.D.";"1";"Ing. Michal Valenta, Ph.D.";"1";"2015-06-16";"1";"Systém pro správu účastníků a bezčipový záznam výsledků na běžeckých závodech ovladatelný jednou osobou";"System for management of participants and chip-free recording of results for running events manageable by one person";"B";"CS"
"5501906";"633702029505";"1";"Ing. Josef Gattermayer, Ph.D.";"2";"";"2";"2015-06-17";"2";"Služba na prezentaci menu";"Menu presenting service";"B";"CS"
"11654506";"808171421105";"1";"Ing. Petr Pulc";"1";"Ing. Jaroslav Kuchař, Ph.D.";"1";"2017-06-14";"1";"Systém pro sběr a zobrazení sférických panoramat";"Spherical panorama crawler and viewer";"M";"CS"
"4783506";"534497496605";"2";"Ing. Michal Valenta, Ph.D.";"2.5";"Ing. Karel Klouda, Ph.D.";"3";"2017-02-08";"3";"Systém pro hodnocení pedagogického výkonu - verze 3.2";"IS for teaching load evaluation - Version 3.2";"B";"CS"
"13032406";"922951453605";"1";"Ing. Jiří Hunka";"1";"doc. Ing. Robert Pergl, Ph.D.";"1";"2019-06-13";"1";"Aplikace na podporu diagnostiky a léčby symptomů dolních cest močových (UROsoft)";"Application for diagnosis and treatment of lower urinary tract symptoms (UROsoft)";"M";"CS"
"11710206";"917903943005";"1";"doc. Ing. Ivan Šimeček, Ph.D.";"3";"Ing. Jiří Buček, Ph.D.";"2.5";"2018-06-25";"3";"Využití zvukové karty jako osciloskopu";"Soundcard Oscilloscope";"B";"CS"
"12962406";"1003137251405";"1";"Ing. Jan Trávníček, Ph.D.";"1.5";"Ing. Petr Máj";"1.5";"2019-06-20";"1.5";"Rozšíření kontejnerů standardní knihovny o notifikace";"Standard library container extension with notifications";"B";"CS"
"15642506";"1122062302705";"1";"prof. RNDr. Tomáš Skopal, Ph.D.";"1.5";"";"2";"2020-06-18";"2";"Webové rozhrání pro system analýzy videa v reálném čase";"Web interface for real-time video analytics system";"M";"EN"
"12084706";"1026110478705";"1";"Ing. Jaroslav Kuchař, Ph.D.";"1";"prof. Dr. Ing. Petr Kroha, CSc.";"1";"2019-06-25";"1";"Klasifikace volebních zpráv z Twitter jako FakeNews";"Classifying Twitter election news as FakeNews";"B";"EN"
"11689006";"906797394705";"1";"Mgr. Jan Starý, Ph.D.";"2";"Ing. Jaroslav Kuchař, Ph.D.";"2";"2018-06-25";"2";"FITCOIN: webový náhled na blockchain";"FITCOIN: a web based blockchain viewer";"B";"CS"
"11718606";"900857873305";"1";"Ing. Jiří Daněček";"1.5";"Ing. Josef Vogel, CSc.";"1.5";"2018-06-21";"1.5";"E-obchod s podporou logistiky rozvozu zboží";"E-shop with support of  goods distribution logistics";"B";"CS"
"6284706";"692512428905";"1";"Ing. Mgr. Pavla Vozárová, Ph.D., M.A.";"1";"PhDr. Ing. Tomáš Evan, Ph.D.";"1";"2016-06-28";"1";"Analýza webových portálů pro komunitní financování";"Analysis of Crowdfunding Websites";"B";"CS"
"11741206";"907623486505";"1";"Ing. Stanislav Kuznetsov";"1";"Ing. David Šenkýř";"1";"2018-06-20";"1";"Inteligentní osobní asistent pro OS Windows";"Intelligent personal assistant for Windows OS";"B";"CS"
"12030106";"902984337105";"1";"Ing. Eliška Šestáková";"1.5";"Mgr. Martin Podloucký";"1.5";"2018-06-21";"1.5";"Systém pro podporu přímého prodeje";"Direct Sales System";"B";"CS"
"4764606";"632222688405";"1";"Ing. Josef Gattermayer, Ph.D.";"2.5";"Mgr. Monika Součková";"2.5";"2016-06-27";"2.5";"Webová aplikace pro vedení projektů";"Web application for project management";"B";"CS"
"13000006";"1012576765505";"1";"Ing. Josef Pavlíček, Ph.D.";"2";"Ing. Jiří Mlejnek";"2.5";"2020-06-25";"2.5";"Vytvoření počítačové verze deskové hry v jazyce Java";"Create a computer version of a board game in Java";"B";"CS"
"11642806";"811265273005";"1";"Ing. Petr Ježdík, Ph.D.";"1";"Ing. Jiří Dostál, Ph.D.";"1";"2018-06-11";"1";"Multiplatformní zobrazovací software pro elektroencefalografii";"Multiplatform software for EEG visualization";"M";"CS"
"12959506";"1003137262105";"1";"Ing. Marek Suchánek";"1.5";"Ing. Miroslav Hrončok";"2";"2019-06-19";"2";"Systém pro podporu gild ve hře Deep Town";"Deep Town Guild Support System";"B";"EN"
"9173706";"920703176705";"1";"Ing. Jiří Chludil";"1";"Ing. Petr Pauš, Ph.D.";"1";"2018-06-19";"1";"ČVUT navigátor - iOS III";"CTU navigator - iOS III";"B";"CS"
"11745606";"913440801105";"1";"doc. Ing. Robert Pergl, Ph.D.";"1";"";"1";"2018-06-22";"1";"Android aplikace DayWork.cz: základní modul";"Android Applications DayWork.cz: Base Module";"B";"CS"
"9201606";"901123275305";"1";"";"1.5";"Ing. Vojtěch Jirkovský";"1.5";"2018-06-19";"1.5";"Mobilní aplikace k určování lokace krajinomalby";"Mobile application for determining the location of a landscape painting";"B";"CS"
"4051006";"540100675105";"2";"Mgr. Petr Matyáš";"1.5";"Mgr. Jan Starý, Ph.D.";"2";"2015-06-16";"1.5";"Grafické uživatelské rozhraní a front-end webové aplikace pro práci s notovými zápisy";"Graphical user interface and front-end of Sheet music web application";"B";"CS"
"14283106";"1013401129905";"1";"Mgr. Ondřej Dvořák";"1";"Ing. David Šenkýř";"1";"2019-06-11";"1";"Evolvabilita UI technologií";"Evolvability of UI technologies";"M";"EN"
"12958006";"1122062281705";"1";"";"1";"Ing. Jiří Novák, Ph.D.";"1.5";"2020-06-25";"1.5";"Analýza riešenia systému IoT pre odhad fyzickej náročnosti turistických trás za pomoci nositeľnej elektroniky";"Analysis of an IoT solution for assessment of the physical difficulty of tourist tracks using smart wearables";"B";"EN"
"8329406";"620045193305";"1";"Ing. Martin Půlpitel";"1.5";"Ing. Miroslav Balík, Ph.D.";"1";"2016-02-16";"1.5";"Historie ČVUT (Android mobilní aplikace)";"History of CTU (Android app)";"M";"CS"
"8340706";"841774498005";"2";"Ing. Milan Dojčinovski, Ph.D.";"2";"Ing. Jaroslav Kuchař, Ph.D.";"2";"2017-06-14";"2";"Metoda pro sumarizaci a hodnocení významnosti informací na Webu dat";"Method for summarization and importance assessment of information on the Web of Data";"M";"SL"
"12994806";"999065998705";"1";"Ing. Marek Skotnica";"1";"doc. Ing. Robert Pergl, Ph.D.";"1";"2019-06-20";"1";"Opensource prostředí pro návrh konstrukčních a procesních modelů metodiky DEMO";"Open-source DEMO Construction and Process Model Designer";"B";"EN"
